Name,Description,Price,URL,Socket,Chipset,RAM Type,Form Factor,M.2 Slots,PCIe,USB
ASRock A520M-HDV,Carte mère Micro ATX Socket AM4 AMD A520 - 2x DDR4 - M.2 PCIe NVMe - USB 3.0 - 1x PCI-Express 3.0 16x,66€95,https://www.ldlc.com/fiche/PB00357333.html,AM4,A520,DDR4,MicroATX,4,PCIExpress3.0,USB3.0
ASRock A520M-HVS,Carte mère Micro ATX Socket AM4 AMD A520 - 2x DDR4 - M.2 PCIe NVMe - USB 3.0 - 1x PCI-Express 3.0 16x,64€95,https://www.ldlc.com/fiche/PB00357332.html,AM4,A520,DDR4,MicroATX,4,PCIExpress3.0,USB3.0
ASRock A620AM PRO RS WIFI,Carte mère Micro ATX Socket AM5 AMD A620A - 4x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x - Wi-Fi 6E/Bluetooth 5.2,129€95,https://www.ldlc.com/fiche/PB00697308.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock A620AM PRO-A,Carte mère Micro ATX Socket AM5 AMD A620A - 4x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x,109€95,https://www.ldlc.com/fiche/PB00697312.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock A620AM-HVS,Carte mère Micro ATX Socket AM5 AMD A620A - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x,81€95,https://www.ldlc.com/fiche/PB00705582.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock A620AM-X,Carte mère Micro ATX Socket AM5 AMD A620A - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x,99€95,https://www.ldlc.com/fiche/PB00703400.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock B450M Pro4 R2.0,Carte mère micro-ATX Socket AM4 AMD B450 - 4x DDR4 - M.2 PCIe 3.0 - USB 3.1 - PCI-Express 3.0 16x,82€95,https://www.ldlc.com/fiche/PB00462746.html,AM4,B450,DDR4,microATX,4,PCIExpress3.0,USB3.1
ASRock B650 Pro RS,Carte mère ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE,199€95,https://www.ldlc.com/fiche/PB00520807.html,AM5,B650,DDR5,ATX,5,PCIExpress4.0,USB3.2
ASRock B650I Lightning WiFi,Carte mère Mini ITX Socket AM5 AMD B650 - 2x DDR5 - M.2 PCIe 5.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2,189€95,https://www.ldlc.com/fiche/PB00581717.html,AM5,B650,DDR5,MiniITX,5,PCIExpress4.0,USB3.1
ASRock B650M PG Lightning,Carte mère micro ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE,139€95,https://www.ldlc.com/fiche/PB00592895.html,AM5,B650,DDR5,microATX,5,PCIExpress4.0,USB3.1
ASRock B650M Pro RS,Carte mère Micro ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE,159€95,https://www.ldlc.com/fiche/PB00554566.html,AM5,B650,DDR5,MicroATX,5,PCIExpress4.0,USB3.2
ASRock B650M-H/M.2+,Carte mère Micro ATX Socket AM5 AMD B650 - 2x DDR5 - M.2 PCIe 5.0 - USB 3.0 - PCI-Express 4.0 16x,119€95,https://www.ldlc.com/fiche/PB00567857.html,AM5,B650,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock B760I Lightning WIFI,Carte mère Mini ITX Socket 1700 Intel B760 Express - 2x DDR5 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3,229€95,https://www.ldlc.com/fiche/PB00614756.html,,B760,DDR5,MiniITX,5,PCIExpress5.0,USB3.1
ASRock B860 Lightning WiFi,Carte mère ATX Socket 1851 Intel B860 Express - 4x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3,279€95,https://www.ldlc.com/fiche/PB00671878.html,,B860,DDR5,ATX,5,PCIExpress5.0,
ASRock B860 LiveMixer WiFi,Carte mère ATX Socket 1851 Intel B860 Express - 4x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3,249€95,https://www.ldlc.com/fiche/PB00672480.html,,B860,DDR5,ATX,5,PCIExpress5.0,
ASRock B860 PRO RS,Carte mère ATX Socket 1851 Intel B860 Express - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE,179€95,https://www.ldlc.com/fiche/PB00671756.html,,B860,DDR5,ATX,5,PCIExpress5.0,USB3.2
ASRock B860 PRO-A,Carte mère ATX Socket 1851 Intel B860 Express - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE,169€95,https://www.ldlc.com/fiche/PB00671884.html,,B860,DDR5,ATX,5,PCIExpress5.0,USB3.2
ASRock B860 PRO-A WiFi,Carte mère ATX Socket 1851 Intel B860 Express - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3,189€95,https://www.ldlc.com/fiche/PB00671889.html,,B860,DDR5,ATX,5,PCIExpress5.0,USB3.2
ASRock B860 Steel Legend WiFi,Carte mère ATX Socket 1851 Intel B860 Express - 4x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3,259€95,https://www.ldlc.com/fiche/PB00672479.html,,B860,DDR5,ATX,5,PCIExpress5.0,
ASRock H510 Pro BTC+,Carte mère Socket 1200 Intel H510 Express - 1x DDR4 - SATA 6Gb/s - USB 3.0 - 6x PCI-Express 3.0 16x,229€95,https://www.ldlc.com/fiche/PB00592956.html,,H510,DDR4,,,PCIExpress3.0,USB3.0
ASRock H510M-HDV/M.2 SE,Carte mère Micro ATX Socket 1200 Intel H510 Express - 2x DDR4 - SATA 6Gb/s - USB 3.0 - PCI-Express 4.0 16x,74€95,https://www.ldlc.com/fiche/PB00560269.html,,H510,DDR4,MicroATX,,PCIExpress4.0,USB3.0
ASRock H610M-H2/M.2 D5,Carte mère Micro ATX Socket 1700 Intel H610 Express - 2x DDR5 - M.2 PCIe 3.0 - USB 3.0 - PCI-Express 4.0 16x,87€95,https://www.ldlc.com/fiche/PB00567826.html,,H610,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock H610M-HDV/M.2 R2.0,Carte mère Micro ATX Socket 1700 Intel H610 Express - 2x DDR4 - M.2 PCIe 3.0 - USB 3.0 - PCI-Express 4.0 16x,89€95,https://www.ldlc.com/fiche/PB00570278.html,,H610,DDR4,MicroATX,4,PCIExpress4.0,USB3.0
ASRock H610M-HVS/M.2 R2.0,Carte mère Micro ATX Socket 1700 Intel H610 Express - 2x DDR4 - M.2 PCIe 3.0 - USB 3.0 - PCI-Express 4.0 16x,79€95,https://www.ldlc.com/fiche/PB00515886.html,,H610,DDR4,MicroATX,4,PCIExpress4.0,USB3.0
ASRock H810M-H,Carte mère Micro ATX Socket 1851 Intel H810 Express - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x,94€95,https://www.ldlc.com/fiche/PB00703402.html,,H810,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock H810M-X,Carte mère Micro ATX Socket 1851 Intel H810 Express - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x - LAN 2.5 GbE,104€95,https://www.ldlc.com/fiche/PB00703408.html,,H810,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock H810M-X WiFi,Carte mère Micro ATX Socket 1851 Intel H810 Express - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi 5/Bluetooth 5.0,109€95,https://www.ldlc.com/fiche/PB00703410.html,,H810,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock W790 WS R2.0,Carte mère E-ATX Socket LGA4677 Intel W790 Express - 8x DDR5 - M.2 PCIe 5.0 - USB 3.2 - LAN 10 GbE - PCI-Express 5.0 16x,599€95,https://www.ldlc.com/fiche/PB00623067.html,LGA4677,,DDR5,ATX,5,PCIExpress5.0,USB3.2
ASRock WRX90 WS EVO,Carte mère SSI EEB Socket sTR5 AMD WRX90 - 8x DDR5 - M.2 PCIe 5.0 - USB 4.0 - LAN 10 GbE - 7x PCI-Express 5.0 16x,1 199€95,https://www.ldlc.com/fiche/PB00609666.html,,,DDR5,,5,PCIExpress5.0,
ASRock X870 Nova WiFi,Carte mère ATX Socket AM5 AMD X870 - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 5 GbE - Wi-Fi 7/Bluetooth 5.4,359€95,https://www.ldlc.com/fiche/PB00703412.html,AM5,X870,DDR5,ATX,5,PCIExpress5.0,
ASRock X870 Pro RS,Carte mère ATX Socket AM5 AMD X870 - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 2.5 GbE,259€95,https://www.ldlc.com/fiche/PB00649988.html,AM5,X870,DDR5,ATX,5,PCIExpress5.0,
ASRock X870 Pro RS WIFI,Carte mère ATX Socket AM5 AMD X870 - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 2.5 GbE - WiFi7/Bluetooth 5.4,269€95,https://www.ldlc.com/fiche/PB00649991.html,AM5,X870,DDR5,ATX,5,PCIExpress5.0,
ASRock X870 Riptide WiFi,Carte mère ATX Socket AM5 AMD X870 - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 2.5 GbE - WiFi7/Bluetooth 5.4,329€95,https://www.ldlc.com/fiche/PB00650001.html,AM5,X870,DDR5,ATX,5,PCIExpress5.0,
ASRock X870 Steel Legend WiFi,Carte mère ATX Socket AM5 AMD X870 - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 2.5 GbE - WiFi7/Bluetooth 5.4,319€95,https://www.ldlc.com/fiche/PB00649995.html,AM5,X870,DDR5,ATX,5,PCIExpress5.0,
ASRock X870E Nova WiFi,Carte mère E-ATX Socket AM5 AMD X870E - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 5 GbE - Wi-Fi 7/Bluetooth 5.4,399€95,https://www.ldlc.com/fiche/PB00650004.html,AM5,,DDR5,ATX,5,PCIExpress5.0,
ASRock X870E Taichi,Carte mère E-ATX Socket AM5 AMD X870E - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 5 GbE - Wi-Fi 7/Bluetooth 5.4,599€95,https://www.ldlc.com/fiche/PB00649642.html,AM5,,DDR5,ATX,5,PCIExpress5.0,
ASRock X870E Taichi Lite,Carte mère E-ATX Socket AM5 AMD X870E - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 5 GbE - Wi-Fi 7/Bluetooth 5.4,519€95,https://www.ldlc.com/fiche/PB00649645.html,AM5,,DDR5,ATX,5,PCIExpress5.0,
ASRock Z790I Lightning WIFI,Carte mère Mini ITX Socket 1700 Intel Z790 Express - 2x DDR5 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3,299€95,https://www.ldlc.com/fiche/PB00614755.html,,Z790,DDR5,MiniITX,5,PCIExpress5.0,USB3.1
ASRock Z890 Pro RS (Race Sport Edition),Carte mère ATX Socket 1851 Intel Z890 Express - 4x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE,269€95,https://www.ldlc.com/fiche/PB00649687.html,,Z890,DDR5,ATX,5,PCIExpress5.0,
ASRock Z890 Pro RS WiFi White (Race Sport Edition),Carte mère ATX Socket 1851 Intel Z890 Express - 4x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE / Wi-Fi 6E / Bluetooth 5.3,269€95,https://www.ldlc.com/fiche/PB00649689.html,,Z890,DDR5,ATX,5,PCIExpress5.0,
ASRock Z890 Steel Legend WiFi,Carte mère ATX Socket 1851 Intel Z890 Express - 4x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE / Wi-Fi 7 / Bluetooth 5.4,319€95,https://www.ldlc.com/fiche/PB00649734.html,,Z890,DDR5,ATX,5,PCIExpress5.0,
ASRock Z890 Taichi OCF,Carte mère ATX Socket 1851 Intel Z890 Express - 2x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 5 GbE / Wi-Fi 7 / Bluetooth 5.4,559€95,https://www.ldlc.com/fiche/PB00649748.html,,Z890,DDR5,ATX,5,PCIExpress5.0,
ASRock Z890I Nova WiFi,Carte mère mini ITX Socket 1851 Intel Z890 Express - 2x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 5 GbE / Wi-Fi 7 / Bluetooth 5.4,369€95,https://www.ldlc.com/fiche/PB00649730.html,,Z890,DDR5,miniITX,5,PCIExpress5.0,
ASRock Z890M Riptide WiFi,Carte mère Micro ATX Socket 1851 Intel Z890 Express - 4x DDR5 - M.2 PCIe 5.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE / Wi-Fi 6E / Bluetooth 5.3,299€95,https://www.ldlc.com/fiche/PB00649727.html,,Z890,DDR5,MicroATX,5,PCIExpress5.0,
ASRock A620AM-X WiFi,Carte mère Micro ATX Socket AM5 AMD A620A - 2x DDR5 - M.2 PCIe 4.0 - USB 3.0 - PCI-Express 4.0 16x - Wi-Fi 5/Bluetooth 5.0,114€95,https://www.ldlc.com/fiche/PB00703401.html,AM5,,DDR5,MicroATX,5,PCIExpress4.0,USB3.0
ASRock B860 PRO RS WIFI,Carte mère ATX Socket 1851 Intel B860 Express - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - WI-Fi 6E/Bluetooth 5.3,219€95,https://www.ldlc.com/fiche/PB00666444.html,,B860,DDR5,ATX,5,PCIExpress5.0,USB3.2
ASRock TRX50 WS,Carte mère E-ATX Socket sTR5 AMD TRX50 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - Wi-Fi 6E/Bluetooth 5.2 - LAN 10 GbE - 3x PCI-Express 5.0 16x,729€95,https://www.ldlc.com/fiche/PB00581702.html,,,DDR5,ATX,5,PCIExpress5.0,USB3.2
ASRock X870 Pro-A WiFi,Carte mère ATX Socket AM5 AMD X870 - 4x DDR5 - M.2 PCIe 5.0 - USB4 - PCI-Express 5.0 16x - LAN 2.5 GbE - WiFi7/Bluetooth 5.4,239€95,https://www.ldlc.com/fiche/PB00703903.html,AM5,X870,DDR5,ATX,5,PCIExpress5.0,
