Name,CAS Latency,Voltage,Multi-channel Kit,Timing,Model,Price,Link
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36,CL36,1.40V,Dual Channel Kit,36-44-44-96,CMH32GX5M2E6000C36,$139.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820236991
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2N6400C36,CL36,1.35V,Dual Channel Kit,36-48-48-104,CMH32GX5M2N6400C36,$134.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-black/p/N82E16820982185
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GVK,CL16,1.35V,Dual Channel Kit,16-18-18-38,F4-3200C16D-32GVK,$109.99,https://www.newegg.com/g-skill-ripjaws-v-series-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232091
Team Group T-CREATE EXPERT 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CTCED532G6000HC30DC01,CL30,1.35V,Dual Channel Kit,30-36-36-76,CTCED532G6000HC30DC01,$179.99,https://www.newegg.com/team-group-t-create-expert-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820985077
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36W,CL36,1.40V,Dual Channel Kit,36-44-44-96,CMH32GX5M2E6000C36W,$139.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-white/p/N82E16820982058
G.SKILL Trident Z5 Neo RGB Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040G32GX2-TZ5NR,CL30,1.40V,Dual Channel Kit,30-40-40-96,F5-6000J3040G32GX2-TZ5NR,$359.99,https://www.newegg.com/g-skill-trident-z5-neo-rgb-series-64gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374445
Team T-FORCE VULCAN Z 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TLZGD416G3200HC16CDC01,CL16,1.35V,,16-18-18-38,TLZGD416G3200HC16CDC,$69.99,https://www.newegg.com/team-group-t-force-vulcan-z-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-gray/p/N82E16820331354
G.SKILL Flare X5 Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 Desktop Memory Model F5-6000J3636F16GX2-FX5,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F16GX2-FX5,$167.99,https://www.newegg.com/g-skill-flare-x5-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374419
G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F16GX2-TZ5NR,CL30,1.35V,Dual Channel Kit,30-38-38-96,F5-6000J3038F16GX2-TZ5NR,$185.99,https://www.newegg.com/g-skill-trident-z5-neo-rgb-series-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374427
Patriot Viper Elite 5 16GB 288-Pin PC RAM DDR5 6000 CL30(PC5 48000) Hynix Desktop Memory Model VEB516G6030W,CL30,1.35V,,30-40-40-76,VEB516G6030W,$47.99,https://www.newegg.com/patriot-memory-viper-elite-5-16gb-ddr5-6000-cas-latency-cl30-desktop-memory-white/p/N82E16820225357
G.SKILL Flare X Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040G32GX2-FX5,CL30,1.40V,Dual Channel Kit,30-40-40-96,F5-6000J3040G32GX2-FX5,$339.99,https://www.newegg.com/g-skill-flare-x-series-64gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374518
Patriot Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV532G600C30K,CL30,1.35V,,30-40-40-76,PVV532G600C30K,$119.99,https://www.newegg.com/patriot-memory-viper-venom-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-matte-black/p/N82E16820225334
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMK64GX5M2B5200C40,CL40,1.25V,Dual Channel Kit,40-40-40-77,CMK64GX5M2B5200C40,$239.99,https://www.newegg.com/corsair-vengeance-64gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820236839
G.SKILL Flare X5 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F16GX2-FX5,CL30,1.35V,Dual Channel Kit,30-38-38-96,F5-6000J3038F16GX2-FX5,$179.99,https://www.newegg.com/g-skill-flare-x5-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374457
V-Color 32GB (2 x 16GB) DDR4 3200 (PC4 25600) Desktop memory Model TL416G32S816CSPKWK,CL16,,Dual Channel Kit,16-16-16-36,TL416G32S816CSPKWK,$91.99,https://www.newegg.com/v-color-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820012103
Patriot Viper Venom 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV532G600C36K,CL36,1.25V,,36-36-36-76,PVV532G600C36K,$109.99,https://www.newegg.com/patriot-memory-viper-venom-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225315
G.SKILL Ripjaws M5 Neo RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F16GX2-RM5NRK,$177.99,https://www.newegg.com/g-skill-ripjaws-m5-neo-rgb-series-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374642
G.SKILL Trident Z5 RGB Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G32GX2-TZ5RK,CL32,1.40V,Dual Channel Kit,32-39-39-102,F5-6400J3239G32GX2-TZ5RK,$334.99,https://www.newegg.com/g-skill-trident-z5-rgb-series-64gb-ddr5-6400-cas-latency-cl32-desktop-memory-black/p/N82E16820374432
CORSAIR Vengeance RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH64GX5M2N6000C30,CL30,1.35V,Dual Channel Kit,30-36-36-96,CMH64GX5M2N6000C30,$279.99,https://www.newegg.com/corsair-vengeance-rgb-64gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820982134
Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model FF4D532G6000HC30DC01,CL30,1.35V,,30-36-36-76,FF4D532G6000HC30DC01,$184.99,https://www.newegg.com/team-group-t-force-delta-rgb-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-white/p/N82E16820331846
G.SKILL Trident Z5 Neo Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040G32GX2-TZ5N,CL30,1.40V,Dual Channel Kit,30-40-40-96,F5-6000J3040G32GX2-TZ5N,$294.99,https://www.newegg.com/g-skill-trident-z5-neo-series-64gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374443
G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-32GVK,CL18,1.35V,Dual Channel Kit,18-22-22-42,F4-3600C18D-32GVK,$108.88,https://www.newegg.com/g-skill-ripjaws-v-series-32gb-ddr4-3600-cas-latency-cl18-desktop-memory-black/p/N82E16820232928
Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model FF3D532G6000HC30DC01,CL30,1.35V,,30-36-36-76,FF3D532G6000HC30DC01,$176.99,https://www.newegg.com/team-group-t-force-delta-rgb-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820331845
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model CMK64GX5M2B5600C40,CL40,1.25V,Dual Channel Kit,40-40-40-77,CMK64GX5M2B5600C40,$244.99,https://www.newegg.com/corsair-vengeance-64gb-ddr5-5600-cas-latency-cl40-desktop-memory-black/p/N82E16820236848
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2N6000Z30,CL30,1.40V,Dual Channel Kit,30-36-36-76,CMH32GX5M2N6000Z30,$172.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-gray/p/N82E16820982184
CORSAIR Vengeance LPX 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK32GX4M2E3200C16,CL16,1.35V,,16-20-20-38,CMK32GX4M2E3200C16,$119.99,https://www.newegg.com/corsair-vengeance-lpx-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236541
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30WCB - White,CL30,1.40V,Dual Channel Kit,30-36-36-76,CMH32GX5M2B6000Z30WCB,$175.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-white/p/N82E16820982277
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH32GX5M2N6400C36W,CL36,1.35V,Dual Channel Kit,36-48-48-104,CMH32GX5M2N6400C36W,$134.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6400-cas-latency-cl36-desktop-memory-white/p/N82E16820982243
G.SKILL Trident Z5 Royal Neo Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J2836G16GX2-TR5NS,CL28,1.40V,Dual Channel Kit,28-36-36-96,F5-6000J2836G16GX2-TR5NS,$229.99,https://www.newegg.com/g-skill-trident-z5-royal-series-32gb-ddr5-6000-cas-latency-cl28-desktop-memory-silver/p/N82E16820374614
G.SKILL Ripjaws Series 32GB (2 x 16GB) 260-Pin DDR4 SO-DIMM DDR4 3200 (PC4 25600) Laptop Memory Model F4-3200C22D-32GRS,CL22,1.20V,Dual Channel Kit,22-22-22-52,F4-3200C22D-32GRS,$84.55,https://www.newegg.com/g-skill-ripjaws-series-32gb-ddr4-3200-cas-latency-cl22-laptop-memory/p/N82E16820374024
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX2-TZ5RK,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F16GX2-TZ5RK,$145.99,https://www.newegg.com/g-skill-trident-z5-rgb-series-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374351
G.SKILL Ripjaws M5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F16GX2-RM5RK,$177.99,https://www.newegg.com/g-skill-ripjaws-m5-rgb-series-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374640
G.SKILL Ripjaws S5 Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F32GX2-RS5K,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F32GX2-RS5K,$249.99,https://www.newegg.com/g-skill-ripjaws-s5-series-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374497
G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-32GTZR,CL18,1.35V,Dual Channel Kit,18-22-22-42,F4-3600C18D-32GTZR,$103.88,https://www.newegg.com/g-skill-tridentz-rgb-series-32gb-ddr4-3600-cas-latency-cl18-desktop-memory-black/p/N82E16820232920
Team T-Force Delta RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model TF3D416G3200HC16FDC01,CL16,1.35V,,16-20-20-40,TF3D416G3200HC16FDC0,$80.99,https://www.newegg.com/team-group-t-force-delta-rgb-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820331858
G.SKILL Ripjaws V Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GVKB,CL16,1.35V,Dual Channel Kit,16-18-18-38,F4-3200C16D-16GVKB,$53.00,https://www.newegg.com/g-skill-ripjaws-v-series-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820231941
G.SKILL Trident Z5 Neo RGB Series 128GB (2 x 64GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3444F64GX2-TZ5NR,CL34,1.35V,Dual Channel Kit,34-44-44-96,F5-6000J3444F64GX2-TZ5NR,$594.99,https://www.newegg.com/g-skill-trident-z5-neo-rgb-series-128gb-2-x-64gb-ddr5-6000-pc5-48000-cas-latency-cl34-desktop-memory-black/p/N82E16820374762
Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model FF3D532G6400HC32ADC01,CL32,1.35V,,32-39-39-84,FF3D532G6400HC32ADC01,$199.99,https://www.newegg.com/team-group-t-force-delta-rgb-32gb-ddr5-6400-cas-latency-cl32-desktop-memory-black/p/N82E16820985153
CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMK16GX4M2E3200C16,CL16,1.35V,,16-20-20-38,CMK16GX4M2E3200C16,$79.99,https://www.newegg.com/corsair-vengeance-lpx-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236540
G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 7200 (PC5 57600) Desktop Memory Model F5-7200J3445G16GX2-TZ5RK,CL34,1.40V,Dual Channel Kit,34-45-45-115,F5-7200J3445G16GX2-TZ5RK,$214.99,https://www.newegg.com/g-skill-trident-z5-rgb-series-32gb-ddr5-7200-cas-latency-cl34-desktop-memory-black/p/N82E16820374436
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000Z28,CL28,1.40V,Dual Channel Kit,28-36-36-96,CMH32GX5M2B6000Z28,$219.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-ddr5-6000-cas-latency-cl28-desktop-memory-gray/p/N82E16820982210
Team T-Create Classic 10 LAYERS 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model TTCCD432G3200HC22DC01,CL22,1.20V,,22-22-22-52,TTCCD432G3200HC22DC0,$129.99,https://www.newegg.com/team-group-t-create-classic-32gb-ddr4-3200-cas-latency-cl22-desktop-memory-gray/p/N82E16820331604
CORSAIR Vengeance RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH64GX5M2N6400C32,CL32,1.40V,Dual Channel Kit,32-40-40-40-84,CMH64GX5M2N6400C32,$299.99,https://www.newegg.com/corsair-vengeance-rgb-64gb-ddr5-6400-cas-latency-cl32-desktop-memory-black/p/N82E16820982255
G.SKILL Trident Z5 Neo Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J2636H32GX2-TZ5NR,CL26,1.45V,Dual Channel Kit,26-36-36-96,F5-6000J2636H32GX2-TZ5NR,$477.99,https://www.newegg.com/g-skill-trident-z5-neo-series-64gb-ddr5-6000-cas-latency-cl26-desktop-memory-black/p/N82E16820374701
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2B6000C30,30,1.40V,Dual Channel Kit,30-36-36-76,CMK32GX5M2B6000C30,$167.99,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-30-desktop-memory-black/p/N82E16820982007
Team Group Delta RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Memory Model FF4D564G6400HC34EDC01,CL34,1.40V,Dual Channel Kit,34-46-46-84,FF4D564G6400HC34EDC01,$199.99,https://www.newegg.com/team-group-delta-rgb-64gb-ddr5-6400-cas-latency-cl34-memory-white/p/N82E16820985291
G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F16GX2-TZ5NR,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F16GX2-TZ5NR,$124.99,https://www.newegg.com/g-skill-trident-z5-neo-rgb-series-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374429
G.SKILL Flare X5 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3636F32GX2-FX5,CL36,1.35V,Dual Channel Kit,36-36-36-96,F5-6000J3636F32GX2-FX5,$309.99,https://www.newegg.com/g-skill-flare-x5-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820374656
Team Group T-CREATE EXPERT 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CTCED532G6400HC32ADC01,CL32,1.35V,Dual Channel Kit,32-39-39-84,CTCED532G6400HC32ADC01,$189.99,https://www.newegg.com/team-group-t-create-expert-32gb-ddr5-6400-cas-latency-cl32-desktop-memory-black/p/N82E16820985076
Patriot Viper Venom RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVVR532G600C36K,CL36,1.35V,,36-36-36-76,PVVR532G600C36K,$145.99,https://www.newegg.com/patriot-memory-viper-venom-rgb-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225310
Silicon Power 32GB (2 x 16GB) DDR4 3200 (PC4 25600) Desktop Memory Model SP032GXLZU320BDAJ7,CL16,1.35V,,16-18-18-38,SP032GXLZU320BDAJ7,$92.97,https://www.newegg.com/silicon-power-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black-gray/p/N82E16820301459
G.SKILL Trident Z Royal Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J2836G32GX2-TR5NS,CL28,1.40V,Dual Channel Kit,28-36-36-96,F5-6000J2836G32GX2-TR5NS,$429.99,https://www.newegg.com/g-skill-trident-z-royal-series-64gb-ddr5-6000-cas-latency-cl28-desktop-memory-silver/p/N82E16820374709
G.SKILL Trident Z5 Royal Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model F5-6400J3239G32GX2-TR5S,CL32,1.45V,Dual Channel Kit,32-39-39-102,F5-6400J3239G32GX2-TR5S,$409.99,https://www.newegg.com/g-skill-trident-z5-royal-series-64gb-ddr5-6400-cas-latency-cl32-desktop-memory-silver/p/N82E16820374569
Patriot Viper Venom 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model PVV564G600C36K,CL36,1.35V,,36-36-36-76,PVV564G600C36K,$228.99,https://www.newegg.com/patriot-memory-viper-venom-64gb-ddr5-6000-cas-latency-cl36-desktop-memory-matte-black/p/N82E16820225333
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040F16GX2-RS5K,CL30,1.35V,Dual Channel Kit,30-40-40-96,F5-6000J3040F16GX2-RS5K,$179.99,https://www.newegg.com/g-skill-ripjaws-s5-series-32gb-ddr5-6000-cas-latency-cl30-desktop-memory-black/p/N82E16820374369
Kingston FURY Beast 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C30BBEK2-32,CL30,1.40V,Dual Channel Kit,30-36-36,KF560C30BBEK2-32,$139.99,https://www.newegg.com/kingston-technology-corp-fury-beast-32gb-ddr5-6000-cas-latency-cl30-memory-black/p/N82E16820242860
Patriot Viper 3 16GB (2 x 8GB) 240-Pin PC RAM DDR3 1600 (PC3 12800) Desktop Memory Model PV316G160C9K,CL9,1.50V,,9-9-9-24,PV316G160C9K,$24.99,https://www.newegg.com/patriot-memory-viper-3-16gb-ddr3-1600-cas-latency-cl9-desktop-memory-black/p/N82E16820220686
Timetec Pinnacle Konduit 32GB KIT(2x16GB) DDR4 3200MHz PC4-25600 CL16-20-20-40 1.35V Dual Rank Compatible for AMD and Intel Desktop Gaming PC Memory Module - White,,,,,PKMD4U32C16CNHW16GK2,$80.99,https://www.newegg.com/p/0RN-00A3-001B7
KingSpec DDR4 RAM 32GB (2 x 16GB) 288-Pin DDR4 SDRAM Memory Module 3200 MHz 288-Pin UDIMM with Heatsink for Computer Desktop PC Memories Module Gaming,CL18,,Dual Channel Kit,,KS3200D4M13516G2R,$53.99,https://www.newegg.com/kingspec-ddr4-pc-series-32gb-ddr4-3200-cas-latency-cl18-memory-red/p/0RN-00FW-00033
G.SKILL Ripjaws V Series 64GB (4 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16Q-64GVK,CL16,1.35V,,16-18-18-38,F4-3200C16Q-64GVK,$199.99,https://www.newegg.com/g-skill-ripjaws-v-series-64gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232092
G.SKILL Flare X5 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J2836G32GX2-FX5,CL28,1.40V,Dual Channel Kit,28-36-36-96,F5-6000J2836G32GX2-FX5,$389.99,https://www.newegg.com/g-skill-flare-x5-64gb-ddr5-6000-cas-latency-cl28-desktop-memory-black/p/N82E16820374680
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop memory Model CMK32GX5M2B6000Z28,CL28,1.40V,Dual Channel Kit,28-36-36-96,CMK32GX5M2B6000Z28,$204.99,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-cl28-desktop-memory-gray/p/N82E16820982208
G.SKILL TridentZ RGB Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GTZR,CL16,1.35V,Dual Channel Kit,16-18-18-38,F4-3200C16D-16GTZR,$59.88,https://www.newegg.com/g-skill-tridentz-rgb-series-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232476
Patriot Viper 3 16GB (2 x 8GB) 240-Pin PC RAM DDR3 1866 (PC3 15000) Desktop Memory Model PV316G186C0K,CL10,1.50V,Dual Channel Kit,10-11-10-30,PV316G186C0K,$24.99,https://www.newegg.com/patriot-memory-viper-3-16gb-ddr3-1866-cas-latency-cl10-desktop-memory-black/p/N82E16820220694
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) DDR5 5200 Desktop Memory Model F5-5200J4040A16GX2-RS5K,CL40,1.10V,Dual Channel Kit,40-40-40-83,F5-5200J4040A16GX2-RS5K,$161.99,https://www.newegg.com/g-skill-ripjaws-s5-series-32gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820374329
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2E6000C36,CL36,1.35V,Dual Channel Kit,36-44-44-96,CMK32GX5M2E6000C36,$139.99,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820236994
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW32GX4M2E3200C16,CL16,1.35V,,16-20-20-38,CMW32GX4M2E3200C16,$139.99,https://www.newegg.com/corsair-vengeance-rgb-pro-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236570
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30CB - Gray,CL30,1.40V,Dual Channel Kit,30-36-36-76,CMH32GX5M2B6000Z30CB,$175.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-gray/p/N82E16820982276
Crucial 32GB (2 x 16GB) 262-Pin DDR5 SO-DIMM DDR5 5600 Laptop Memory Model CT2K16G56C46S5,CL46,1.10V,,46-45-45,CT2K16G56C46S5,$129.75,https://www.newegg.com/crucial-32gb-ddr5-5600-cas-latency-cl46-notebook-memory/p/N82E16820156316
Crucial 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CT2K16G4DFRA32A,CL22,1.20V,,22-22-22,CT2K16G4DFRA32A,$135.99,https://www.newegg.com/crucial-32gb-ddr4-3200-cas-latency-cl22-desktop-memory-green/p/N82E16820156269
Team T-CREATE EXPERT 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CTCED532G6000HC38ADC01,CL38,1.25V,Dual Channel Kit,38-38-38-78,CTCED532G6000HC38ADC01,$159.99,https://www.newegg.com/team-group-t-create-expert-32gb-ddr5-6000-cas-latency-cl38-desktop-memory-black/p/N82E16820985004
Crucial 32GB 262-Pin DDR5 SO-DIMM DDR5 5600 Laptop Memory Model CT32G56C46S5,CL46,1.10V,,,CT32G56C46S5,$138.95,https://www.newegg.com/crucial-32gb-ddr5-5600-cas-latency-cl46-laptop-memory/p/N82E16820156315
